roof,1,2,3
healthy_metal,192.0,199.0,185.0
healthy_metal,161.0,172.0,168.0
healthy_metal,175.0,182.0,173.0
healthy_metal,178.0,186.0,175.0
healthy_metal,170.0,182.0,177.0
healthy_metal,177.0,187.0,176.0
healthy_metal,175.0,183.0,172.0
healthy_metal,160.0,169.0,160.0
healthy_metal,191.0,199.0,189.0
healthy_metal,172.0,180.0,171.0
healthy_metal,206.0,215.0,207.0
healthy_metal,196.0,210.0,208.0
healthy_metal,220.0,231.0,226.0
irregular_metal,129.0,119.0,96.0
incomplete,151.0,143.0,126.0
irregular_metal,172.0,177.0,168.0
irregular_metal,175.0,181.0,171.0
irregular_metal,172.0,181.0,174.0
irregular_metal,131.0,122.0,110.0
irregular_metal,168.0,175.0,167.0
irregular_metal,159.0,163.0,152.0
irregular_metal,152.0,156.0,145.0
healthy_metal,240.0,245.0,246.0
healthy_metal,180.0,197.0,199.0
healthy_metal,177.0,197.0,200.0
healthy_metal,212.0,229.0,229.0
healthy_metal,193.0,208.0,206.0
healthy_metal,172.0,186.0,181.0
healthy_metal,153.0,167.0,164.0
healthy_metal,156.0,169.0,162.0
healthy_metal,186.0,199.0,198.0
healthy_metal,160.0,170.0,164.0
healthy_metal,176.0,185.0,177.0
healthy_metal,221.0,233.0,230.0
healthy_metal,171.0,180.0,171.0
healthy_metal,187.0,203.0,206.0
healthy_metal,149.0,161.0,159.0
healthy_metal,167.0,174.0,164.0
healthy_metal,152.0,165.0,161.0
irregular_metal,129.0,114.0,100.0
irregular_metal,141.0,139.0,128.0
healthy_metal,123.0,148.0,118.0
healthy_metal,188.0,110.0,107.0
irregular_metal,120.0,119.0,108.0
healthy_metal,118.0,115.0,103.0
healthy_metal,121.0,119.0,105.0
irregular_metal,159.0,160.0,146.0
irregular_metal,194.0,205.0,201.0
irregular_metal,163.0,169.0,158.0
irregular_metal,154.0,160.0,151.0
irregular_metal,139.0,138.0,128.0
healthy_metal,226.0,234.0,232.0
healthy_metal,175.0,186.0,183.0
healthy_metal,202.0,217.0,221.0
concrete_cement,173.0,172.0,160.0
healthy_metal,175.0,186.0,179.0
healthy_metal,168.0,174.0,132.0
healthy_metal,120.0,113.0,96.0
irregular_metal,220.0,229.0,220.0
healthy_metal,165.0,168.0,152.0
healthy_metal,174.0,182.0,172.0
healthy_metal,165.0,177.0,175.0
incomplete,138.0,132.0,114.0
concrete_cement,150.0,149.0,134.0
concrete_cement,112.0,108.0,94.0
irregular_metal,136.0,133.0,119.0
irregular_metal,155.0,160.0,146.0
irregular_metal,162.0,169.0,162.0
irregular_metal,152.0,153.0,143.0
irregular_metal,122.0,120.0,104.0
concrete_cement,166.0,167.0,153.0
healthy_metal,166.0,173.0,167.0
healthy_metal,171.0,183.0,181.0
healthy_metal,168.0,179.0,174.0
incomplete,168.0,153.0,128.0
irregular_metal,162.0,162.0,149.0
irregular_metal,167.0,174.0,164.0
irregular_metal,163.0,164.0,149.0
irregular_metal,156.0,164.0,158.0
irregular_metal,153.0,153.0,139.0
irregular_metal,161.0,169.0,161.0
irregular_metal,161.0,171.0,166.0
irregular_metal,162.0,164.0,152.0
concrete_cement,117.0,112.0,96.0
incomplete,118.0,113.0,99.0
incomplete,152.0,143.0,121.0
incomplete,142.0,141.0,130.0
incomplete,138.0,135.0,122.0
incomplete,136.0,134.0,121.0
irregular_metal,171.0,177.0,164.0
irregular_metal,154.0,158.0,149.0
irregular_metal,119.0,121.0,109.0
irregular_metal,151.0,154.0,142.0
irregular_metal,153.0,158.0,144.0
irregular_metal,152.0,156.0,145.0
healthy_metal,169.0,174.0,160.0
healthy_metal,122.0,115.0,101.0
irregular_metal,126.0,114.0,104.0
irregular_metal,146.0,138.0,124.0
healthy_metal,238.0,245.0,243.0
concrete_cement,114.0,112.0,104.0
healthy_metal,138.0,134.0,116.0
irregular_metal,124.0,120.0,108.0
irregular_metal,174.0,180.0,173.0
concrete_cement,158.0,160.0,150.0
healthy_metal,188.0,190.0,179.0
healthy_metal,180.0,187.0,183.0
healthy_metal,220.0,227.0,226.0
healthy_metal,195.0,202.0,197.0
healthy_metal,189.0,193.0,191.0
incomplete,166.0,154.0,137.0
healthy_metal,128.0,122.0,110.0
irregular_metal,189.0,192.0,183.0
irregular_metal,146.0,142.0,131.0
irregular_metal,160.0,160.0,145.0
irregular_metal,126.0,122.0,111.0
healthy_metal,179.0,186.0,181.0
healthy_metal,183.0,190.0,185.0
healthy_metal,177.0,183.0,181.0
healthy_metal,168.0,175.0,172.0
healthy_metal,178.0,183.0,176.0
healthy_metal,176.0,176.0,164.0
healthy_metal,190.0,189.0,173.0
irregular_metal,158.0,160.0,150.0
irregular_metal,164.0,161.0,147.0
irregular_metal,159.0,164.0,159.0
irregular_metal,156.0,153.0,140.0
irregular_metal,192.0,194.0,190.0
irregular_metal,180.0,178.0,173.0
irregular_metal,177.0,179.0,176.0
irregular_metal,180.0,181.0,179.0
irregular_metal,186.0,189.0,193.0
irregular_metal,172.0,172.0,169.0
irregular_metal,182.0,184.0,185.0
irregular_metal,176.0,173.0,173.0
incomplete,190.0,185.0,182.0
incomplete,153.0,149.0,149.0
incomplete,171.0,166.0,164.0
incomplete,172.0,162.0,152.0
irregular_metal,168.0,162.0,157.0
incomplete,188.0,142.0,140.0
irregular_metal,185.0,190.0,196.0
incomplete,168.0,166.0,166.0
incomplete,174.0,172.0,171.0
irregular_metal,193.0,192.0,191.0
irregular_metal,195.0,194.0,187.0
irregular_metal,189.0,194.0,196.0
irregular_metal,183.0,187.0,182.0
healthy_metal,136.0,157.0,123.0
healthy_metal,180.0,177.0,164.0
healthy_metal,184.0,191.0,192.0
irregular_metal,148.0,172.0,197.0
irregular_metal,179.0,180.0,173.0
irregular_metal,155.0,139.0,131.0
irregular_metal,158.0,149.0,139.0
incomplete,170.0,149.0,132.0
healthy_metal,111.0,106.0,97.0
healthy_metal,109.0,102.0,86.0
healthy_metal,219.0,219.0,226.0
healthy_metal,186.0,193.0,201.0
healthy_metal,151.0,157.0,164.0
healthy_metal,180.0,185.0,188.0
healthy_metal,199.0,206.0,207.0
healthy_metal,174.0,182.0,188.0
healthy_metal,182.0,188.0,198.0
irregular_metal,179.0,182.0,187.0
irregular_metal,154.0,159.0,160.0
incomplete,133.0,130.0,130.0
incomplete,144.0,131.0,125.0
incomplete,176.0,178.0,182.0
incomplete,163.0,164.0,166.0
irregular_metal,182.0,184.0,188.0
irregular_metal,169.0,169.0,173.0
irregular_metal,174.0,182.0,176.0
irregular_metal,172.0,177.0,182.0
irregular_metal,170.0,170.0,168.0
irregular_metal,162.0,168.0,169.0
incomplete,125.0,120.0,107.0
irregular_metal,158.0,161.0,156.0
irregular_metal,137.0,131.0,124.0
healthy_metal,179.0,184.0,181.0
healthy_metal,182.0,193.0,196.0
healthy_metal,167.0,177.0,179.0
healthy_metal,162.0,171.0,170.0
healthy_metal,169.0,176.0,172.0
healthy_metal,171.0,179.0,174.0
healthy_metal,165.0,175.0,175.0
healthy_metal,122.0,116.0,103.0
irregular_metal,155.0,156.0,149.0
irregular_metal,192.0,195.0,199.0
irregular_metal,174.0,180.0,187.0
irregular_metal,168.0,172.0,174.0
irregular_metal,199.0,203.0,208.0
healthy_metal,182.0,186.0,188.0
healthy_metal,173.0,178.0,180.0
healthy_metal,174.0,174.0,160.0
healthy_metal,192.0,194.0,187.0
irregular_metal,169.0,171.0,169.0
irregular_metal,184.0,192.0,192.0
irregular_metal,148.0,150.0,144.0
irregular_metal,169.0,178.0,178.0
irregular_metal,172.0,178.0,177.0
healthy_metal,137.0,106.0,104.0
healthy_metal,120.0,115.0,98.0
irregular_metal,177.0,179.0,178.0
healthy_metal,191.0,198.0,192.0
healthy_metal,194.0,31.0,58.0
irregular_metal,180.0,183.0,179.0
irregular_metal,137.0,130.0,117.0
irregular_metal,171.0,177.0,171.0
concrete_cement,181.0,179.0,165.0
concrete_cement,160.0,161.0,149.0
incomplete,130.0,126.0,117.0
incomplete,149.0,153.0,152.0
incomplete,155.0,159.0,151.0
healthy_metal,179.0,188.0,187.0
healthy_metal,173.0,181.0,182.0
healthy_metal,156.0,167.0,167.0
healthy_metal,199.0,204.0,195.0
